10000	0.000000
20000	0.000000
30000	0.000000
40000	0.015625
50000	0.000000
60000	0.000000
70000	0.000000
80000	0.000000
90000	0.000000
100000	0.015625
110000	0.000000
120000	0.000000
130000	0.000000
140000	0.000000
150000	0.015625
160000	0.000000
170000	0.000000
180000	0.015625
190000	0.000000
200000	0.000000
210000	0.000000
220000	0.000000
230000	0.015625
240000	0.000000
250000	0.000000
260000	0.000000
270000	0.000000
280000	0.000000
290000	0.015625
300000	0.000000
310000	0.015625
320000	0.015625
330000	0.000000
340000	0.015625
350000	0.000000
360000	0.000000
370000	0.015625
380000	0.015625
390000	0.000000
400000	0.015625
410000	0.015625
420000	0.000000
430000	0.000000
440000	0.015625
450000	0.015625
460000	0.000000
470000	0.000000
480000	0.015625
490000	0.015625
500000	0.015625
510000	0.015625
520000	0.000000
530000	0.015625
540000	0.015625
550000	0.015625
560000	0.015625
570000	0.015625
580000	0.015625
590000	0.015625
600000	0.015625
610000	0.015625
620000	0.015625
630000	0.015625
640000	0.015625
650000	0.015625
660000	0.015625
670000	0.015625
680000	0.015625
690000	0.015625
700000	0.015625
710000	0.015625
720000	0.015625
730000	0.015625
740000	0.015625
750000	0.015625
760000	0.015625
770000	0.015625
780000	0.015625
790000	0.015625
800000	0.015625
810000	0.031250
820000	0.015625
830000	0.015625
840000	0.015625
850000	0.015625
860000	0.015625
870000	0.015625
880000	0.015625
890000	0.015625
900000	0.015625
910000	0.031250
920000	0.015625
930000	0.031250
940000	0.015625
950000	0.015625
960000	0.015625
970000	0.015625
980000	0.031250
990000	0.015625
1000000	0.015625
